index,Biomass/biogas [MW],Solar [MW],Gas [MW],Other fuels [MW],Wind [MW],Water [MW],Lignite [MW],Hard coal [MW]
2014-01-01 00:00:00,769.7,3.5,1137.7,0.0,3471.3,2289.9,9220.5,19908.6
2014-02-01 00:00:00,770.5,3.9,1137.8,0.0,3476.7,2289.8,9220.5,19908.6
2014-03-01 00:00:00,781.9,3.4,1144.5,0.0,3562.0,2290.1,9220.5,19908.6
2014-04-01 00:00:00,783.5,3.9,1144.5,0.0,3587.9,2290.1,9220.5,19908.6
2014-05-01 00:00:00,784.8,5.8,1144.6,0.0,3599.1,2293.4,9220.5,19908.6
2014-06-01 00:00:00,788.0,6.1,1150.1,0.0,3601.3,2293.8,9220.5,20098.4
2014-07-01 00:00:00,788.7,8.1,1150.8,0.0,3622.8,2293.8,9220.5,20213.1
2014-08-01 00:00:00,796.1,8.4,1152.0,0.0,3658.1,2297.7,9220.5,20213.1
2014-09-01 00:00:00,796.1,15.1,1194.1,0.0,3674.8,2297.9,9220.5,20211.1
2014-10-01 00:00:00,800.5,20.6,1194.1,0.0,3717.6,2297.9,9220.5,20211.1
2014-11-01 00:00:00,802.5,22.4,1226.7,0.0,3839.0,2299.9,9220.5,20212.1
2014-12-01 00:00:00,805.1,27.5,1226.8,0.0,3866.7,2301.1,9220.5,20286.6
2015-01-01 00:00:00,829.7,29.6,1218.7,0.0,3876.9,2298.0,9220.5,20279.7
2015-02-01 00:00:00,831.5,31.9,1218.7,0.0,3949.8,2298.2,9220.5,20279.1
2015-03-01 00:00:00,807.0,37.9,1224.8,0.0,3957.2,2299.2,9220.5,20270.3
2015-04-01 00:00:00,807.8,42.1,1224.6,0.0,3964.0,2300.6,9220.5,20271.3
2015-05-01 00:00:00,810.0,46.7,1224.7,0.0,4031.7,2302.9,9220.5,20271.3
2015-06-01 00:00:00,810.9,53.3,1224.5,0.0,4072.1,2303.5,9220.5,20271.3
2015-07-01 00:00:00,812.9,60.3,1224.5,0.0,4116.5,2303.8,9242.9,20188.8
2015-08-01 00:00:00,815.2,72.8,1228.5,0.0,4170.4,2304.0,9242.9,20191.8
2015-09-01 00:00:00,841.7,75.5,1228.9,0.0,4181.3,2304.1,9242.9,20275.8
2015-10-01 00:00:00,845.1,83.6,1228.9,0.0,4291.1,2304.3,9242.9,19867.0
2015-11-01 00:00:00,852.4,92.7,1230.4,0.0,4495.9,2304.2,9242.9,19864.0
2015-12-01 00:00:00,863.8,105.8,1232.8,0.0,4884.0,2304.3,9242.9,19865.5
2016-01-01 00:00:00,865.4,110.2,1263.0,0.0,4973.8,2305.8,9286.9,19670.9
2016-02-01 00:00:00,866.5,113.3,1263.0,0.0,5252.4,2318.8,9286.9,19671.0
2016-03-01 00:00:00,867.4,122.7,1269.0,0.0,5451.5,2318.9,9286.9,19665.4
2016-04-01 00:00:00,868.3,129.0,1284.2,0.0,5489.0,2318.8,9286.9,19665.4
2016-05-01 00:00:00,874.2,135.4,1284.2,0.0,5498.3,2318.8,9286.9,19665.4
2016-06-01 00:00:00,877.1,143.6,1284.2,0.0,5614.6,2318.8,9286.9,19725.4
2016-07-01 00:00:00,872.9,149.8,1284.0,0.0,5643.6,2318.7,9286.9,19725.4
2016-08-01 00:00:00,873.2,155.7,1284.8,0.0,5645.2,2319.2,9286.9,19726.5
2016-09-01 00:00:00,866.4,162.7,1304.4,0.0,5767.2,2319.2,9286.9,19726.5
2016-10-01 00:00:00,867.1,172.0,1330.0,0.0,5765.6,2319.0,9286.9,19721.9
2016-11-01 00:00:00,869.0,176.7,1333.0,0.0,5773.0,2319.1,9286.9,19727.9
2016-12-01 00:00:00,871.0,185.7,1333.3,0.0,5778.8,2319.4,9286.9,19727.9
2017-01-01 00:00:00,1062.5,191.2,1461.5,411.1,5782.3,2318.9,9286.9,20846.4
2017-02-01 00:00:00,1039.6,195.2,1469.1,530.4,5782.9,2318.8,9286.9,20730.5
2017-03-01 00:00:00,1038.5,199.8,1479.6,530.4,5782.5,2318.8,9286.9,20730.0
2017-04-01 00:00:00,1054.4,205.2,1581.6,550.0,5783.4,2318.8,9286.9,20748.0
2017-05-01 00:00:00,1056.0,207.8,1584.9,546.7,5793.1,2318.8,9286.9,20748.0
2017-06-01 00:00:00,1058.3,220.7,1585.2,546.7,5795.9,2318.0,9286.9,20748.0
2017-07-01 00:00:00,1058.5,227.3,2058.9,546.7,5795.1,2318.1,9286.9,20748.0
2017-08-01 00:00:00,1050.7,233.8,2060.5,547.2,5796.6,2319.1,9286.9,20782.2
2017-09-01 00:00:00,1072.7,242.5,2061.1,547.2,5800.2,2315.5,9286.9,20799.7
2017-10-01 00:00:00,1098.4,252.8,2064.3,547.2,5813.6,2393.9,9286.9,20799.6
2017-11-01 00:00:00,1096.0,260.0,2064.2,547.2,5814.1,2393.4,9286.9,20799.6
2017-12-01 00:00:00,1110.8,277.2,2065.8,617.2,5826.3,2393.2,9286.9,22000.1
2018-01-01 00:00:00,1105.0,293.8,2064.2,617.2,5839.5,2386.1,9286.9,22036.0
2018-02-01 00:00:00,1106.2,305.7,2064.2,617.7,5827.8,2386.1,9286.9,22029.5
2018-03-01 00:00:00,1104.5,326.1,2066.2,617.7,5829.8,2386.1,9286.9,21887.0
2018-04-01 00:00:00,1105.5,334.2,2066.6,617.7,5831.6,2385.9,9286.9,21887.5
2018-05-01 00:00:00,1106.2,344.7,2066.6,617.7,5831.1,2386.2,9286.9,21820.7
2018-06-01 00:00:00,1106.0,374.6,2066.6,617.7,5831.0,2386.2,9286.9,21822.7
2018-07-01 00:00:00,1108.2,387.9,2660.3,632.0,5836.7,2385.8,9287.3,21824.7
2018-08-01 00:00:00,1107.9,413.8,2660.2,632.0,5836.3,2385.9,9287.3,21824.7
2018-09-01 00:00:00,1112.3,441.6,2649.7,632.0,5838.3,2385.4,9287.3,21833.6
2018-10-01 00:00:00,1113.7,453.0,2648.8,632.0,5838.5,2385.4,9287.3,21870.6
2018-11-01 00:00:00,1114.1,509.9,2648.7,633.9,5840.3,2385.5,9287.3,21840.6
2018-12-01 00:00:00,1114.0,556.7,2648.7,633.9,5843.0,2384.4,9287.3,21830.1
2019-01-01 00:00:00,1110.6,603.3,2649.7,632.9,5842.6,2378.8,9287.3,21902.8
2019-02-01 00:00:00,1102.5,612.8,2654.5,632.9,5844.0,2383.3,9286.5,21902.8
2019-03-01 00:00:00,1109.9,692.7,2655.2,632.9,5844.9,2383.3,9292.4,21902.8
2019-04-01 00:00:00,1117.6,730.1,2657.7,633.5,5853.5,2383.1,9292.4,21979.7
2019-05-01 00:00:00,1141.5,814.0,2659.3,633.0,5866.4,2383.2,9292.4,22910.2
2019-06-01 00:00:00,1133.5,925.6,2664.2,632.9,5860.4,2383.1,9292.4,22915.5
2019-07-01 00:00:00,1133.5,1000.7,2654.7,632.9,5870.4,2383.1,9292.4,22916.4
2019-08-01 00:00:00,1134.0,1047.5,2654.2,632.9,5876.9,2384.1,9292.4,22916.6
2019-09-01 00:00:00,1132.0,1130.7,2658.1,577.9,5880.2,2383.8,8922.4,23874.6
2019-10-01 00:00:00,1132.0,1218.3,2703.8,577.9,5891.6,2382.9,9292.4,23871.3
2019-11-01 00:00:00,1132.0,1348.0,2701.3,580.4,5890.2,2382.9,9292.4,23866.9
2019-12-01 00:00:00,1133.7,1526.2,2701.7,577.9,5898.1,2382.8,9292.4,23870.4
2020-01-01 00:00:00,1134.6,1568.6,2699.6,578.7,5971.0,2382.7,9292.4,23860.1
2020-02-01 00:00:00,1134.4,1762.0,2700.3,578.8,5904.5,2382.8,9292.4,23881.9
2020-03-01 00:00:00,1135.1,1901.6,2701.0,578.8,5920.1,2383.4,9292.4,23888.1
2020-04-01 00:00:00,1136.7,2063.1,2701.0,578.8,5938.9,2383.4,9292.4,23888.1
